REVIEW_ID,RATING,YEAR_MONTH,REVIEWER_LOCATION,REVIEW_TEXT,BRANCH
444611282,4,2016-11,Singapore,"We were here on a November Monday. We bought the 1 day 2 parks mini ticket online and printed them. It was relatively easy to buy train tickets on the morning though we encounter a bit of morning rush as we were leaving Paris. When we reached the Disneyland, we had to go through security checks and then we entered the Disneyland Park into the Main Street which consists mainly eating places and shops. The park is divided into various sections with many rides to choose from. While lines may be long, they move relatively fast. Majority of the rides were kid friendly and were indoor. There also many opportunities to take photos with the various Disney characters and to watch the parades.We are unable to find halal food and so we opted for the vegetarian food at Au Chalet de la Marionette which are in huge portion and quite tasty.I think we spent too much time in the main park that when we went to the studio park, the sun almost set and the temperature is freezing cold. We managed to go back to the main park to catch the lighting of the Christmas tree and the elaborate fireworks at the castle, though I think it's just a summary of the movie Frozen and the firework wasn't as spectacular as I expected.I do wish they provide heater so that visitors would have a more comfortable experience waiting and viewing the fireworks.",Disneyland_Paris
444522847,2,2016-12,United Kingdom,I accept the park has to maintain the rides but too many of the big rides weren't open when we visited today. I was visiting with my teenage son so he only wanted to go on the big ones...... I found this a poor experience especially in comparison to the Florida parks who seem to have a much better operating rythmn,Disneyland_Paris
444315756,4,2016-12,United Kingdom,"We come every year with my autistic nephew (adult but no other provision in drop down). It is wonderful and the parade and castle display is worth the visit. Downside is the cost, the lack of disabled provision although we did jump the queues with our pass and toilets are nightmare as we were having to send this large disabled male into toilets on his own! Staff are polite apart from the one restaurant we visited! Theatre shows well worth seeing. Back next December",Disneyland_Paris
153607621,5,2013-2,United Kingdom,"We travelled here in February half term, the weather was freezing but no rain. The Disneyland park itself is magical, also so clean there's always staff picking up litter. There were a few rides closed over the 5 days we were there, which was a little disappointing, but still plenty to do. Food is expensive but you can eat cheaply too, I would recommend the Earl of Sandwich in the Disney village. Also the market deli on Main Street. The studios park was also very clean and seemed to be the quieter park, with rides more catered for older children. We didn't have to queue for long in here except for Crush's coaster. We all enjoyed Cafe Mickey which although expensive is worthwhile for good food and amazing to see the characters without queuing.",Disneyland_Paris
210976099,5,2014-5,United Kingdom,Fourth time in ten years was worried would be bored nope disney magic worked again ! My face hurt after four days of grinning from earvto ear still a magic holiday one memories are made of ignore the negative comments if you go in school holidays be prepared to queue but its worth it !,Disneyland_Paris
169186607,5,2013-7,United Kingdom,"The weather was incredibly hot which made for long tiring days walking round the park. Attraction sign posting isn't great, we spent time trying to find the attraction entrances but it is very difficult to have a bad word for Disney, we love it.",Disneyland_Paris
442659730,4,2016-12,United Kingdom,"We've just returned from a lovely break at EuroDisney with my partner and 2 children, we had 4 full days and this was perfect amount of time to see everything and go on everything!!!!It's also nice as we stayed in Disney hotel that you are allowed the magical hours in the morning, this helped with seeing a few characters, plus getting few extra rides in again, most of the staff were lovely and helpful, however just like all places there are the moody and rude ones, which sadly happened on a few occasions..!! Character wises, they were brilliant and our children loved seeing them, however the queues were often far to big, waiting and standing around isn't great, plus unlike past visits they don't seem to wonder around as much, very limited to who we saw, AGAIN staff were rude when there set time were up, telling us that we'd missed out, no warning and was little upset as queued for over an hour!!!!Inside park, it's very very expensive for normal things,    5 for a basic hot chocolate is not good, and other things like HotDog    8 and it's just a tinned sausage haha....!!! Overall, the kids had a brilliant time and will remember this trip for many many years, so that is worth spending extra to see them happy!!!!",Disneyland_Paris
144397790,5,2012-10,Ireland,"loved the park,was a very busy time but we still managed to get to try all the rides and attractions,hated the queues lost a lot of time but still had a ball.",Disneyland_Paris
442082146,5,2016-12,United Kingdom,What's not to like hardly any queues great rides great helpers and easy to get round perfect for all the family,Disneyland_Paris
126916991,5,2012-3,Saudi Arabia,Buy an annual pass to save and enjoy it fully .The attractions are worth waiting for . After 5 pm is a quiter time . The pirates attraction is what we liked the most .,Disneyland_Paris
148464572,5,2012-12,United Kingdom,"I loved the parade at 4pm, the rides especially Big Thunder Mountain....Mickey makes appearances and other Disney Characters...also remember the night shows as well. The food isn't great so see if you can pack your own food or eat well at the hotel.....it's Disney what can I say? My children were smiling all the time and that made it so worthwhile...",Disneyland_Paris
441205311,1,2016-11,United Kingdom,"Disney have got this so wrong and you come away never wanting to buy anything Disney again! The majority of the park under renovation with unimaginative boarding and temporary signage. I would expect more from Disney as it could have been themed and made as an experience but no its just painted grey and boarded up. Some areas are almost completly closed and you do feel ripped off for a once in a lifetime trip! I accept that things need updating but don't update multiple rides throughout the park at the same time! We counted over 10 rides closed for renovation and then on 4 other occasions rides were temporary shut due to technical faults. These did reopen but then caused long queues at other rides due to these faults. Whilst you can almost accept renovation however unimaginative it is done the price of food is something that is unforgivable! You are quite simply robbed if you expect to eat! When you do remorgage your house and decide to buy a meal the quality is shocking and something you would get at a late night food joint! Simply do not eat here it is not worth it! There is also a severe lack of seating within the park and if you go out of season there is not much cover anywhere and no where to sit where it's warm with kids. The kids did get very cold at parts and as we couldn't afford the restaurants you are left with little choice but to leave the park and go to the hotel. Overall you feel very much like you are being fleeced of money and whilst some things seem reasonable in price like the photopass between the renovations and the cost of food it's simply not worth going! There are better theme parks I'm the country that I live in that I can go in a day and it costs nothing near going to Disney. The characters are good and they do spend time with the children but there is no hospitality and the park has no atmosphere, severely lacking the Disney magic that they promise. ",Disneyland_Paris
440979766,5,2016-11,United Kingdom,"A truly magical place. The whole family loved it, very Christmassy and even more magical at night. Food a little pricey and mainly burger and chips type if you eat on the go. Think the fireworks should be earlier in the winter as 10.00 was far too late for our littlies and they missed them, which was a shame as they were beautiful, everyone should visit at least once ",Disneyland_Paris
174039240,4,2013-8,Brazil,"Disneyland is always Disneyland, amazing and unforgettable experiences with the usual queues of this kind of attraction. The fireworks at the end however was just breathtaking, I completely forgot how tired I was.The food is a huge problem, theresn't enough restaurants and no variety at all inside the park. It's good for children and adults. Recomended",Disneyland_Paris
122883295,5,2011-12,United Kingdom,we visited 19 23rd December stayed in the cheyyanne and travelled by eurostar the best way to get there. we arrived just chucked cases at disney express and went straight in the park It was our kids present from us they didn't know they were going till day before.The place is amazing i've never done the states but my husband has he says disney is disney it's just in the states it's biggeri've read reviews saying staff were miserable and rude but this is our 2nd time there and i disagree it's the foreign tourists that are rude and push to get to see characters so just leave your manners at home and don't let them put you off it's brilliant we're going back next year for my 40thtips....1st travel eurostar and get disney express they take care of your luggage2nd book the premium meal plan i now it seem alot of money but trust more you eat with all the characters and your meals are all ready paid for so the money you have in your pocket you can just spend in all the great shops3rd take a suitcase full of food i took crisp chocolate and biscuits and drinks and a flask and nescafe sachets saved a bomb of cash. had bags searched and they never said a thing for two coffees was 6.20euros and i think thats all we brought was a few coffees spent all the rest on kids it was great4th take a pushchair or something shopping trolley save carrying the food my kids are 8 and 5 they still got tired and sat in it left it outside of rides no one took anything Hotel was basic (no kettle  but i took my own clean and tidy and thats all that matters i mean we was out from 8 9 till 10 at night i'd stay there againwe ate in mickeys cafe mickeys wild west show that was brill and the french one (can't remember name) with the princesses and in disneyland park hotel and the food in there was the best unlimited buffet well worth a visitIt was an amazing 5 days very tiring but so worth to see their little faces light up every dayso what you waiting for BOOK NOW........,Disneyland_Paris
440401308,5,2016-11,United Kingdom,I loved every moment of the day. It was pure magic and the attractions were second to none. Can't wait for the next visit!!,Disneyland_Paris
